metabolite,source_cell,sink_cell,exchange_axis,mean_hypertension_yes,mean_hypertension_no,log2fc,p_value,significant
udp,PC,C_TAL,PC→C_TAL,3095.083427349356,3001.5519083475206,0.04426967959039163,0.6389508518031541,False
gly,Podo,Endo_G,Podo→Endo_G,46.01343545200961,50.274207885878894,-0.1277632682679886,0.6593406593406593,False
for,Podo,Endo_G,Podo→Endo_G,5.181171152663446,3.377318188382015,0.6173999861960136,0.6593406593406593,False
hco3,Endo_G,Podo,Endo_G→Podo,1965.8695699148814,2107.9639127281903,-0.10068256295863073,0.6593406593406593,False
aspmetasp,PT_S3,Endo_Peritubular,PT_S3→Endo_Peritubular,0.3052386732393529,0.7612082590981571,-1.318350622894888,0.6647960428343129,False
dad_2,CD4T,Plasma_Cells,CD4T→Plasma_Cells,30.794941197746468,85.5948642475103,-1.474830833128974,0.6647960428343129,False
chsterol,PT_S1,Endo_G,PT_S1→Endo_G,1.5810700273560483,2.0319518766396265,-0.36196476455034254,0.6938772945044488,False
cholp,Mono,C_TAL,Mono→C_TAL,0.2995141290351356,0.0,18.19226935235139,0.7277235466695502,False
3mhis,Plasma_Cells,C_TAL,Plasma_Cells→C_TAL,0.020723629203101255,0.0,14.339058669370234,0.7277235466695502,False
alaarggly,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,1.2885603505608594,0.0,20.297329797280586,0.7277235466695502,False
fmn,Mac,Plasma_Cells,Mac→Plasma_Cells,6.074031688980511,0.0,22.53422324208756,0.7277235466695502,False
acald,C_TAL,PEC,C_TAL→PEC,0.2524903050574117,0.0,17.94587418164168,0.7277235466695502,False
hisglnala,C_TAL,IC,C_TAL→IC,0.017129577745343103,0.0,14.064286188080862,0.7277235466695502,False
tyrala,C_TAL,CD4T,C_TAL→CD4T,3.3259347191758724,0.0,21.66532885505027,0.7277235466695502,False
dttp,C_TAL,Fib,C_TAL→Fib,5.134615616046937,0.0,22.29182512887123,0.7277235466695502,False
dtdp,Fib,C_TAL,Fib→C_TAL,13.083495061463028,0.0,23.6412447613626,0.7277235466695502,False
dtmp,Fib,C_TAL,Fib→C_TAL,0.18656700115829492,0.0,17.50934204085731,0.7277235466695502,False
ala_B,C_TAL,PT_S3,C_TAL→PT_S3,8.798296389664348,0.0,23.068792935671425,0.7277235466695502,False
hisglu,C_TAL,Fib,C_TAL→Fib,0.49808724928686954,0.0,18.92604185032278,0.7277235466695502,False
hisglugln,GS_Stromal,Fib,GS_Stromal→Fib,0.05933280259663947,0.0,15.856566625039365,0.7277235466695502,False
man,Fib,Podo,Fib→Podo,34.918146645387914,0.0,25.057473692431625,0.7277235466695502,False
aspglupro,DCT,C_TAL,DCT→C_TAL,4.393570805592855,0.0,22.06696284189609,0.7277235466695502,False
glumethis,C_TAL,PT_S3,C_TAL→PT_S3,0.6424268228613369,0.0,19.293174850223007,0.7277235466695502,False
ptrc,C_TAL,iPT,C_TAL→iPT,176.72461246264027,0.0,27.396927745494104,0.7277235466695502,False
asplysglu,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,0.0800301427346552,0.0,16.288273888623824,0.7277235466695502,False
aspasnglu,C_TAL,PEC,C_TAL→PEC,0.742744632196343,0.0,19.502508690583394,0.7277235466695502,False
s2l2n2m2masn,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,0.0003736154724843224,0.0,8.54926667722386,0.7277235466695502,False
retn,PT_S3,C_TAL,PT_S3→C_TAL,13.995717318927332,0.0,23.738482198179153,0.7277235466695502,False
orn,iPT,C_TAL,iPT→C_TAL,230.58429613302857,110.88911426101988,1.0561765090438924,0.739485369307934,False
hxan,Mac,Plasma_Cells,Mac→Plasma_Cells,87.80963182597196,45.429804815068046,0.9507400751237267,0.7692307692307692,False
asp_L,IC,PC,IC→PC,294.8533480057911,121.90571977787404,1.2742317505074303,0.7692307692307692,False
dag_hs,C_TAL,PT_S3,C_TAL→PT_S3,2221.992816948668,1239.1347688478427,0.8425210482441717,0.7692307692307692,False
gdp,PC,C_TAL,PC→C_TAL,8041.680441084257,7599.208610126989,0.08164782515533256,0.7692307692307692,False
succ,iPT,C_TAL,iPT→C_TAL,1465.187300828982,897.5627082959658,0.7070004597831842,0.7692307692307692,False
glucyala,PEC,IC,PEC→IC,2515.573993385287,2323.15864629536,0.11479994801574427,0.7692307692307692,False
ala_L,PT_S1,PT_S2,PT_S1→PT_S2,1244.6036853087573,1003.3183069157043,0.31090704334312463,0.7692307692307692,False
gluala,PT_S3,IC,PT_S3→IC,1012.4418816316412,499.66265701945355,1.0188127868216148,0.8133090928808524,False
asn_L,Podo,Endo_G,Podo→Endo_G,47.09581333453672,37.90764918661823,0.3131098155192336,0.8151350051232789,False
nrpphr,PC,iPT,PC→iPT,274.04161870595476,196.4141864304563,0.48049587474859484,0.8560096715260768,False
pro_L,Fib,MyoFib,Fib→MyoFib,473.5101694849947,230.54733717198283,1.0383324046147064,0.8631013805350074,False
ump,Endo_G,Fib,Endo_G→Fib,2136.4114990889375,3087.3754124014554,-0.5311913647402061,0.8757266205721657,False
nh4,iPT,PT_S1,iPT→PT_S1,876.8134412829866,776.5339015780081,0.17522100379337693,0.8846153846153846,False
Rtotal,PC,C_TAL,PC→C_TAL,223.99753368148404,237.32116556550497,-0.08335792551834759,0.8846153846153846,False
amp,PT_S3,C_TAL,PT_S3→C_TAL,2145.4718085568584,2068.092144820104,0.05299447716846737,0.8846153846153846,False
inost,C_TAL,PT_S3,C_TAL→PT_S3,0.7156714858023195,0.7236738139332047,-0.016042046372212616,0.8846153846153846,False
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,1.6879652969500567,8.500125439715763,-2.3321982030249155,0.8846153846153846,False
thymd,C_TAL,PT_S3,C_TAL→PT_S3,10.46524428240622,2.849333884679767,1.8769090277208642,0.8846153846153846,False
uri,C_TAL,PC,C_TAL→PC,490.3564568037252,470.12371230405716,0.060790424968818896,0.8846153846153846,False
