exchange_axis,source,sink,n_metabolites,n_significant,pct_significant,combined_p,mean_cohens_d,mean_evidence,direction,direction_label,metabolites,metabolite_detail,combined_q
C_TAL→PEC,C_TAL,PEC,2,0,0.0,0.982608,0.288,0.113,UP,↑ DKD,acald; aspasnglu,"aspasnglu(d=+0.29,rDKD=17%,rControl=0%); acald(d=+0.28,rDKD=17%,rControl=0%)",1.0
Mac→Plasma_Cells,Mac,Plasma_Cells,2,0,0.0,0.992259,0.028,0.104,UP,↑ DKD,fmn; hxan,"fmn(d=+0.35,rDKD=17%,rControl=0%); hxan(d=-0.30,rDKD=100%,rControl=100%)",1.0
PT_S2→PT_S1,PT_S2,PT_S1,3,0,0.0,0.997259,-0.264,0.08,DOWN,↑ Control,cgly; glyc; tyr_L,"cgly(d=-0.20,rDKD=100%,rControl=100%); glyc(d=-0.29,rDKD=100%,rControl=100%); tyr_L(d=-0.31,rDKD=100%,rControl=100%)",1.0
C_TAL→PT_S3,C_TAL,PT_S3,16,0,0.0,0.999995,-0.098,0.163,DOWN,↑ Control,10fthf5glu; 15kprostgf2; ala_B; arg_L; atp; dag_hs; glumethis; his_L; ile_L; inost; met_L; phe_L; sphs1p; thr_L; thymd; trp_L,"atp(d=+0.62,rDKD=33%,rControl=0%); his_L(d=+0.58,rDKD=33%,rControl=0%); met_L(d=+0.39,rDKD=67%,rControl=33%); glumethis(d=+0.26,rDKD=17%,rControl=0%); dag_hs(d=+0.17,rDKD=100%,rControl=100%); thymd(d=+0.17,rDKD=100%,rControl=100%); ile_L(d=+0.03,rDKD=33%,rControl=33%); trp_L(d=-0.12,rDKD=33%,rControl=33%); 10fthf5glu(d=-0.16,rDKD=67%,rControl=67%); phe_L(d=-0.21,rDKD=67%,rControl=67%); thr_L(d=-0.39,rDKD=50%,rControl=67%); 15kprostgf2(d=-0.43,rDKD=50%,rControl=67%); ala_B(d=-0.49,rDKD=0%,rControl=0%); arg_L(d=-0.49,rDKD=100%,rControl=100%); inost(d=-0.70,rDKD=83%,rControl=100%); sphs1p(d=-0.80,rDKD=83%,rControl=100%)",1.0
Mono→CD4T,Mono,CD4T,1,0,0.0,1.0,0.316,0.104,UP,↑ DKD,ttdca,"ttdca(d=+0.32,rDKD=50%,rControl=33%)",1.0
Mono→Mac,Mono,Mac,2,0,0.0,1.0,0.346,0.111,UP,↑ DKD,3mob; ocdca,"3mob(d=+0.38,rDKD=17%,rControl=0%); ocdca(d=+0.31,rDKD=17%,rControl=0%)",1.0
Mono→GS_Stromal,Mono,GS_Stromal,1,0,0.0,1.0,0.349,0.112,UP,↑ DKD,val_L,"val_L(d=+0.35,rDKD=17%,rControl=0%)",1.0
Mono→Fib,Mono,Fib,1,0,0.0,1.0,0.246,0.087,UP,↑ DKD,34hpp,"34hpp(d=+0.25,rDKD=17%,rControl=0%)",1.0
MyoFib→C_TAL,MyoFib,C_TAL,1,0,0.0,1.0,0.569,0.267,UP,↑ DKD,h2s,"h2s(d=+0.57,rDKD=33%,rControl=0%)",1.0
VSMC/Pericyte→Dedifferentiated_Tubule,VSMC/Pericyte,Dedifferentiated_Tubule,1,0,0.0,1.0,0.216,0.079,UP,↑ DKD,duri,"duri(d=+0.22,rDKD=17%,rControl=0%)",1.0
Plasma_Cells→Fib,Plasma_Cells,Fib,1,0,0.0,1.0,0.218,0.054,UP,↑ DKD,aspglu,"aspglu(d=+0.22,rDKD=100%,rControl=100%)",1.0
