metabolite,source_cell,sink_cell,exchange_axis,predictor,beta,p_value,significant,r_squared
chol,C_TAL,iPT,C_TAL→iPT,eGFR,0.4798334969692364,0.20884349794461038,False,0.6839733148852087
chol,C_TAL,iPT,C_TAL→iPT,fibrosis,0.633563819264682,0.01965692049681465,True,0.6839733148852087
chol,C_TAL,iPT,C_TAL→iPT,age,0.5880262189066923,0.15908405266806389,False,0.6839733148852087
chol,C_TAL,iPT,C_TAL→iPT,sex_num,18.486531353424084,0.06099944786324458,False,0.6839733148852087
chol,C_TAL,iPT,C_TAL→iPT,is_DKD,10.534216612419476,0.45488913136785114,False,0.6839733148852087
chol,C_TAL,iPT,C_TAL→iPT,is_HKD,9.037477194947751,0.4767356142171736,False,0.6839733148852087
tyr_L,PT_S2,PT_S1,PT_S2→PT_S1,eGFR,0.19470694638405472,0.18387851965386384,False,0.5556580608983185
tyr_L,PT_S2,PT_S1,PT_S2→PT_S1,fibrosis,-0.11128877141526242,0.20769981781566918,False,0.5556580608983185
tyr_L,PT_S2,PT_S1,PT_S2→PT_S1,age,-0.06669923581856876,0.6531883393894418,False,0.5556580608983185
tyr_L,PT_S2,PT_S1,PT_S2→PT_S1,sex_num,-4.713620733905973,0.17922561960594857,False,0.5556580608983185
tyr_L,PT_S2,PT_S1,PT_S2→PT_S1,is_DKD,9.830110063909894,0.09384829104820183,False,0.5556580608983185
tyr_L,PT_S2,PT_S1,PT_S2→PT_S1,is_HKD,9.910015166855203,0.06722792255242718,False,0.5556580608983185
met_L,C_TAL,PT_S3,C_TAL→PT_S3,eGFR,-0.028760873929187646,0.5464475262630883,False,0.2671408813554699
met_L,C_TAL,PT_S3,C_TAL→PT_S3,fibrosis,0.016361842717390322,0.5713606050560351,False,0.2671408813554699
met_L,C_TAL,PT_S3,C_TAL→PT_S3,age,0.026615630264937643,0.6028394216656663,False,0.2671408813554699
met_L,C_TAL,PT_S3,C_TAL→PT_S3,sex_num,0.8935666189673039,0.4375607947901746,False,0.2671408813554699
met_L,C_TAL,PT_S3,C_TAL→PT_S3,is_DKD,-0.9035847959020902,0.6202681856211216,False,0.2671408813554699
met_L,C_TAL,PT_S3,C_TAL→PT_S3,is_HKD,-1.7666553930103972,0.2987389522841204,False,0.2671408813554699
his_L,C_TAL,PT_S3,C_TAL→PT_S3,eGFR,-0.0011326767619839375,0.8789756438106975,False,0.8811414851807692
his_L,C_TAL,PT_S3,C_TAL→PT_S3,fibrosis,0.023974443298940797,0.000901071864123759,True,0.8811414851807692
his_L,C_TAL,PT_S3,C_TAL→PT_S3,age,0.012353906246268198,0.15359908276951034,False,0.8811414851807692
his_L,C_TAL,PT_S3,C_TAL→PT_S3,sex_num,0.40529549194505315,0.05013672940869763,False,0.8811414851807692
