metabolite,source_cell,sink_cell,exchange_axis,rho,p_value,significant,analysis,mean_Male,mean_Female,log2fc_M_vs_F,mean_hypertension_yes,mean_hypertension_no,log2fc,mean_diabetes_yes,mean_diabetes_no,predictor,beta,r_squared
tyrala,C_TAL,CD4T,C_TAL→CD4T,,0.009502684262906758,True,regression,,,,,,,,,age,0.6421109398181286,0.7716467542268792
retn,PT_S3,C_TAL,PT_S3→C_TAL,,0.007921682611588095,True,regression,,,,,,,,,fibrosis,1.5828543768972476,0.7716467542268792
retn,PT_S3,C_TAL,PT_S3→C_TAL,,0.009502684262906765,True,regression,,,,,,,,,age,2.7020383621095583,0.7716467542268792
34dhoxpeg,C_TAL,PC,C_TAL→PC,,0.005249223392617098,True,regression,,,,,,,,,fibrosis,0.3563697270373978,0.7932088193566316
34dhoxpeg,C_TAL,PC,C_TAL→PC,,0.008236335570030638,True,regression,,,,,,,,,age,0.5769969114019754,0.7932088193566316
34dhoxpeg,C_TAL,PC,C_TAL→PC,,0.04800631291974878,True,regression,,,,,,,,,sex_num,8.414760238827256,0.7932088193566316
hisglnala,C_TAL,IC,C_TAL→IC,,0.007921682611588083,True,regression,,,,,,,,,fibrosis,0.0019372802758705675,0.7716467542268793
hisglnala,C_TAL,IC,C_TAL→IC,,0.00950268426290675,True,regression,,,,,,,,,age,0.0033070670934501707,0.7716467542268793
ade,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,,0.04346996381954397,True,regression,,,,,,,,,eGFR,17.348619953311328,0.6547339420730947
ade,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,,0.029616884037577635,True,regression,,,,,,,,,is_DKD,737.8291893615583,0.6547339420730947
ade,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,,0.012576107406978015,True,regression,,,,,,,,,is_HKD,814.6658738047037,0.6547339420730947
5dhf,PT_S1,PT_S3,PT_S1→PT_S3,,0.03469835693442543,True,regression,,,,,,,,,eGFR,322.2574129378801,0.6766328574845907
5dhf,PT_S1,PT_S3,PT_S1→PT_S3,,0.017596134296671173,True,regression,,,,,,,,,is_HKD,13204.697662974144,0.6766328574845907
5thf,C_TAL,iPT,C_TAL→iPT,,0.021331350069361037,True,regression,,,,,,,,,is_HKD,2730.722887007126,0.6069747713162743
pro_L,Fib,MyoFib,Fib→MyoFib,,0.021446579859989295,True,regression,,,,,,,,,eGFR,45.68286904703367,0.6575616772533
pro_L,Fib,MyoFib,Fib→MyoFib,,0.020343975443749385,True,regression,,,,,,,,,is_DKD,1777.0126994988148,0.6575616772533
pro_L,Fib,MyoFib,Fib→MyoFib,,0.014022075647587649,True,regression,,,,,,,,,is_HKD,1747.1439425958545,0.6575616772533
ttdca,Mono,CD4T,Mono→CD4T,,0.026615644699607588,True,regression,,,,,,,,,is_HKD,45.41089903003909,0.6510947730535981
chsterol,PT_S1,Endo_G,PT_S1→Endo_G,,0.0009904311102249483,True,regression,,,,,,,,,eGFR,0.21344296417379618,0.8594330975533407
chsterol,PT_S1,Endo_G,PT_S1→Endo_G,,0.009064450873093745,True,regression,,,,,,,,,age,-0.15153552530414913,0.8594330975533407
chsterol,PT_S1,Endo_G,PT_S1→Endo_G,,0.005283305901094485,True,regression,,,,,,,,,is_DKD,6.033404425173452,0.8594330975533407
chsterol,PT_S1,Endo_G,PT_S1→Endo_G,,0.002996175574551924,True,regression,,,,,,,,,is_HKD,6.071662216884441,0.8594330975533407
5mthf,MyoFib,Fib,MyoFib→Fib,,0.045499030764048445,True,regression,,,,,,,,,is_HKD,7.959281314919058,0.6095171372005246
s2l2n2m2masn,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,,0.010992011728946325,True,regression,,,,,,,,,eGFR,7.361318265942827e-05,0.7068089182499054
s2l2n2m2masn,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,,0.017489885129622254,True,regression,,,,,,,,,is_HKD,0.0023024891201273608,0.7068089182499054
