metabolite,source,sink,exchange_axis,mean_raw_DKD,mean_raw_HKD,mean_rank_DKD,mean_rank_HKD,detected_DKD,detected_HKD,rate_DKD,rate_HKD,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_DKD,signature_HKD,effect_size_label
met_L,C_TAL,PT_S3,C_TAL→PT_S3,13.33,2.81,0.4253,0.22,4,1,0.667,0.2,2.245,0.0972,0.24242424242424246,5.4,-0.633,1.276,0.3284,1.0,0.897,False,False,False,False,True,False,large
hco3,Endo_G,Podo,Endo_G→Podo,76911.51,95013.0,0.9506,0.9214,6,5,1.0,1.0,-0.305,0.0468,1.0,1.182,-0.733,1.639,0.2505,1.0,0.875,True,False,True,False,False,False,large
arg_L,C_TAL,PT_S3,C_TAL→PT_S3,398.42,301.91,0.5931,0.4966,6,5,1.0,1.0,0.4,0.029,1.0,1.182,-0.8,1.335,0.2505,1.0,0.872,True,False,True,False,False,False,large
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,4826.65,4514.1,0.7253,0.6648,6,5,1.0,1.0,0.097,0.0378,1.0,1.182,-0.767,1.452,0.2505,1.0,0.861,True,False,True,False,False,False,large
thrglnglu,GS_Stromal,C_TAL,GS_Stromal→C_TAL,10.59,0.0,0.35,0.1779,2,0,0.333,0.0,23.337,0.0512,0.4545454545454546,6.111,-0.7,1.002,0.2505,1.0,0.838,False,False,False,False,False,False,large
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,0.04,0.0,0.2948,0.1779,2,0,0.333,0.0,15.384,0.0598,0.4545454545454546,6.111,-0.7,1.071,0.2505,1.0,0.831,False,False,False,False,False,False,large
his_L,C_TAL,PT_S3,C_TAL→PT_S3,3.2,0.0,0.327,0.1779,2,0,0.333,0.0,21.608,0.0556,0.4545454545454546,6.111,-0.7,1.022,0.2505,1.0,0.83,False,False,False,False,False,False,large
34dhoxpeg,C_TAL,PC,C_TAL→PC,6.22,0.0,0.3293,0.1779,2,0,0.333,0.0,22.569,0.054,0.4545454545454546,6.111,-0.7,0.991,0.2505,1.0,0.827,False,False,False,False,False,False,large
meoh,C_TAL,Fib,C_TAL→Fib,0.34,0.0,0.2971,0.1779,2,0,0.333,0.0,18.39,0.0648,0.4545454545454546,6.111,-0.7,1.069,0.2539,1.0,0.819,False,False,False,False,False,False,large
h2s,MyoFib,C_TAL,MyoFib→C_TAL,10.61,0.0,0.3316,0.1779,2,0,0.333,0.0,23.339,0.0564,0.4545454545454546,6.111,-0.7,0.982,0.2505,1.0,0.818,False,False,False,False,False,False,large
ile_L,C_TAL,PT_S3,C_TAL→PT_S3,18.81,0.0,0.3626,0.1779,2,0,0.333,0.0,24.165,0.0598,0.4545454545454546,6.111,-0.7,0.991,0.2505,1.0,0.811,False,False,False,False,False,False,large
tyrglu,PC,GS_Stromal,PC→GS_Stromal,0.0,0.0,0.2126,0.1779,0,0,0.0,0.0,0.0,0.0588,1.0,0.846,-0.7,1.355,0.2505,1.0,0.769,False,False,False,False,False,False,large
6dhf,CNT,PT_S3,CNT→PT_S3,6100.5,15836.94,0.4529,0.749,3,5,0.5,1.0,-1.376,0.4548,0.1818181818181818,0.091,0.4,-1.536,0.7934,1.0,0.764,False,False,False,False,False,True,large
ncam,iPT,PT_S3,iPT→PT_S3,0.0,0.0,0.2126,0.1779,0,0,0.0,0.0,0.0,0.0622,1.0,0.846,-0.7,1.355,0.2505,1.0,0.761,False,False,False,False,False,False,large
